route,segment,ok,why,n_frames,duration_s,km,km_engaged,engaged_pct,v_med_kmh,v_p90_kmh,n_disengage,lane_both_p30,lane_both_p50,lane_left_p50,lane_right_p50,edge_ok_pct,exposure_med,imu_corr
data,segment_0,True,"ok (IMU truc 0, dau -1, corr=0.998)",1129,57.9,0.175,0.047,13.1,10.3,21.2,0,0.1,0.0,0.0,2.0,7.7,0.02,0.998
data,segment_1,True,"ok (IMU truc 0, dau -1, corr=0.978)",1200,60.0,0.199,0.189,92.9,11.1,21.6,4,13.3,0.0,7.4,19.2,10.4,0.065,0.978
data,segment_2,True,"ok (IMU truc 0, dau -1, corr=1.000)",1200,60.0,0.267,0.209,71.8,16.9,21.6,3,5.9,2.3,2.7,5.1,15.7,0.02,1.0
data,segment_3,True,"ok (IMU truc 0, dau -1, corr=0.962)",1200,60.0,0.463,0.463,100.0,28.0,32.3,0,66.1,33.5,81.5,36.7,13.5,0.015,0.962
data,segment_4,False,IMU khong khop goc lai (corr=0.43),1200,60.0,0.207,0.206,64.5,5.1,30.8,2,94.9,87.8,92.5,87.8,0.0,0.01,0.425
data,segment_5,True,"ok (IMU truc 0, dau -1, corr=0.975)",1200,60.0,0.104,0.103,67.0,2.9,20.1,1,39.7,26.8,36.8,27.3,0.0,0.01,0.975
data,segment_6,False,xe gan nhu dung yen,1200,60.0,0.007,0.006,13.8,0.0,1.9,2,10.2,0.0,0.0,0.0,0.0,0.01,
data,segment_7,True,"ok (IMU truc 0, dau -1, corr=0.992)",1200,60.0,0.101,0.096,61.4,6.0,13.6,2,0.0,0.0,0.0,0.0,0.0,0.015,0.992
data,segment_8,True,"ok (IMU truc 0, dau -1, corr=0.988)",1200,60.0,0.453,0.453,100.0,28.9,31.7,0,70.8,44.0,54.9,47.5,0.0,0.02,0.988
data,segment_9,True,"ok (IMU truc 0, dau -1, corr=0.968)",1200,60.0,0.632,0.629,99.0,38.0,49.1,1,81.8,71.7,72.5,81.8,55.8,0.07,0.968
data,segment_10,True,"ok (IMU truc 0, dau -1, corr=0.903)",1200,60.0,0.335,0.334,85.8,24.5,36.2,2,75.1,27.4,33.5,48.0,23.2,0.055,0.903
data,segment_11,True,"ok (IMU truc 0, dau -1, corr=0.957)",1200,60.0,0.692,0.692,100.0,42.4,45.3,0,93.3,84.5,88.2,85.4,36.5,0.04,0.957
data,segment_12,True,"ok (IMU truc 0, dau -1, corr=0.926)",1200,60.0,0.397,0.396,92.6,33.5,36.9,1,92.4,67.9,86.2,69.3,0.0,0.025,0.926
data,segment_13,True,"ok (IMU truc 0, dau -1, corr=0.956)",1200,60.0,0.366,0.364,97.8,24.2,31.7,2,94.8,80.4,87.1,81.9,0.0,0.025,0.956
data,segment_14,True,"ok (IMU truc 0, dau -1, corr=0.998)",1200,60.0,0.491,0.458,84.1,35.4,37.2,2,58.8,46.8,68.0,46.8,3.5,0.025,0.998
data,segment_15,True,"ok (IMU truc 0, dau -1, corr=0.995)",1200,60.0,0.365,0.362,98.6,21.7,26.4,0,4.0,0.0,63.3,0.0,0.1,0.035,0.995
data,segment_16,False,IMU khong khop goc lai (corr=0.90),1200,60.0,0.337,0.336,99.8,22.4,23.1,1,8.2,1.4,33.6,1.4,0.0,0.06,0.9
data,segment_17,True,"ok (IMU truc 0, dau -1, corr=0.973)",1200,60.0,0.333,0.331,99.2,22.1,23.2,4,0.0,0.0,0.0,0.0,0.0,0.045,0.973
data,segment_18,True,"ok (IMU truc 0, dau -1, corr=0.976)",1200,60.0,0.33,0.323,97.3,21.3,22.8,10,0.4,0.0,5.3,0.0,0.3,0.055,0.976
data,segment_19,True,"ok (IMU truc 0, dau -1, corr=0.986)",1200,60.0,0.371,0.364,98.2,22.7,23.2,6,0.4,0.0,6.5,0.0,0.6,0.08,0.986
data,segment_20,True,"ok (IMU truc 0, dau -1, corr=0.964)",1200,60.0,0.317,0.314,99.1,19.3,22.6,4,0.0,0.0,0.0,0.0,0.2,0.075,0.964
data,segment_21,True,"ok (IMU truc 0, dau -1, corr=0.974)",1200,60.0,0.356,0.354,99.6,21.7,23.1,1,0.8,0.0,0.0,0.2,0.0,0.07,0.974
data,segment_22,True,"ok (IMU truc 0, dau -1, corr=0.998)",1200,60.0,0.401,0.155,42.7,23.1,29.2,1,7.1,0.1,64.2,0.1,35.4,0.055,0.998
data,segment_23,True,"ok (IMU truc 0, dau -1, corr=0.995)",1200,60.0,0.35,0.327,93.9,22.8,23.3,2,0.0,0.0,1.8,0.0,17.6,0.035,0.995
data,segment_24,True,"ok (IMU truc 0, dau -1, corr=0.998)",1200,60.0,0.403,0.35,83.2,25.0,30.0,3,48.3,15.6,28.2,17.5,36.0,0.035,0.998
data,segment_25,True,"ok (IMU truc 0, dau -1, corr=0.906)",1200,60.0,0.482,0.482,100.0,31.6,39.9,0,12.5,0.6,13.2,2.8,13.8,0.045,0.906
data,segment_26,True,"ok (IMU truc 0, dau -1, corr=0.990)",1200,60.0,0.417,0.333,46.3,35.2,48.0,2,24.8,14.5,16.3,15.2,16.2,0.05,0.99
data,segment_27,True,"ok (IMU truc 0, dau -1, corr=0.999)",1200,60.0,0.144,0.071,9.9,0.0,41.3,0,11.6,7.4,9.1,9.8,9.3,0.035,0.999
data,segment_28,True,"ok (IMU truc 0, dau -1, corr=0.990)",1200,60.0,0.84,0.84,100.0,48.5,59.1,0,89.0,82.2,84.3,83.8,53.6,0.045,0.99
data,segment_29,False,IMU khong khop goc lai (corr=0.64),1200,60.0,0.074,0.047,6.9,0.0,25.2,1,10.2,5.0,5.6,8.8,1.7,0.04,0.635
data,segment_30,False,xe gan nhu dung yen,1200,60.0,0.0,0.0,0.0,0.0,0.0,0,0.4,0.0,0.0,0.0,0.0,0.04,
data,segment_31,True,"ok (IMU truc 0, dau -1, corr=0.969)",1200,60.0,0.196,0.19,37.7,0.0,33.6,0,26.8,19.0,25.0,19.2,21.4,0.035,0.969
data,segment_32,True,"ok (IMU truc 0, dau -1, corr=0.999)",1200,60.0,0.347,0.109,15.6,11.2,49.4,1,33.1,29.2,30.8,30.5,30.4,0.03,0.999
data,segment_33,True,"ok (IMU truc 0, dau -1, corr=0.937)",1200,60.0,0.046,0.0,0.0,0.0,7.7,0,97.3,76.7,95.7,76.7,0.0,0.035,0.937
data,segment_34,True,"ok (IMU truc 0, dau -1, corr=0.966)",1200,60.0,0.362,0.361,84.8,23.5,42.1,0,85.7,75.9,82.5,76.0,30.5,0.025,0.966
data,segment_35,True,"ok (IMU truc 0, dau -1, corr=0.979)",1200,60.0,0.722,0.722,100.0,44.0,46.3,0,94.0,83.4,87.8,87.4,89.6,0.025,0.979
data,segment_36,False,IMU khong khop goc lai (corr=0.65),1200,60.0,0.071,0.07,35.9,0.0,15.6,2,16.4,12.9,13.1,16.1,10.0,0.075,0.646
data,segment_37,True,"ok (IMU truc 0, dau -1, corr=0.982)",1200,60.0,0.288,0.253,55.1,11.4,36.5,2,51.8,32.5,34.5,41.3,31.2,0.1001,0.982
data,segment_38,True,"ok (IMU truc 0, dau -1, corr=0.999)",1200,60.0,0.485,0.412,72.1,32.6,38.4,1,57.1,38.6,65.1,40.3,0.0,0.06,0.999
data,segment_39,True,"ok (IMU truc 0, dau -1, corr=0.999)",1198,60.0,0.368,0.303,57.0,20.7,44.6,3,29.5,21.5,26.4,22.0,18.1,0.06,0.999
data,segment_40,True,"ok (IMU truc 0, dau -1, corr=0.999)",1200,60.0,0.231,0.153,38.8,13.8,30.5,0,5.1,0.0,9.2,0.0,0.0,0.06,0.999
data,segment_41,True,"ok (IMU truc 0, dau -1, corr=0.999)",1200,60.0,0.489,0.415,73.1,33.3,38.1,2,54.5,41.0,49.1,43.4,1.1,0.085,0.999
data,segment_42,True,"ok (IMU truc 0, dau -1, corr=0.986)",1200,60.0,0.265,0.263,56.7,12.0,36.2,3,45.1,32.2,45.9,32.2,0.0,0.04,0.986
data,segment_43,True,"ok (IMU truc 0, dau -1, corr=0.997)",1200,60.0,0.087,0.043,18.1,0.0,16.8,3,1.1,0.0,0.0,0.0,0.0,0.045,0.997
data,segment_44,True,"ok (IMU truc 0, dau -1, corr=0.994)",1200,60.0,0.663,0.633,92.9,41.3,44.4,2,75.1,70.1,71.5,71.8,66.2,0.06,0.994
data,segment_45,True,"ok (IMU truc 0, dau -1, corr=0.999)",1200,60.0,0.236,0.186,53.7,9.9,37.0,8,51.2,21.6,22.7,41.8,31.3,0.1651,0.999
data,segment_46,True,"ok (IMU truc 0, dau -1, corr=0.994)",1200,60.0,0.275,0.258,76.6,20.2,29.3,0,7.0,0.0,0.0,20.8,23.8,0.2351,0.994
data,segment_47,True,"ok (IMU truc 0, dau -1, corr=0.951)",1200,60.0,0.072,0.067,86.5,3.9,8.1,3,18.2,0.0,0.0,3.4,0.1,0.2051,0.951
data,segment_48,True,"ok (IMU truc 0, dau -1, corr=1.000)",1200,60.0,0.116,0.0,0.0,3.1,21.3,0,0.6,0.0,3.8,0.0,5.7,0.2051,1.0
data,segment_49,True,"ok (IMU truc 0, dau -1, corr=0.999)",1200,60.0,0.159,0.053,24.4,10.6,14.5,2,26.8,0.2,3.6,19.7,0.2,0.2301,0.999
data,segment_50,True,"ok (IMU truc 0, dau -1, corr=0.976)",1200,60.0,0.07,0.0,0.0,0.7,15.0,0,22.8,10.6,16.8,14.2,0.1,0.4402,0.976
data,segment_51,False,xe gan nhu dung yen,933,46.6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.4902,
