route,segment,t,engaged,v_med_kmh,curv_abs,straight,weave_amp_m,weave_std_m,steer_reversals_min,lat_accel_std,lat_jerk_std,track_err_curv,lane_prob_inner,err_2s_med,exposure
data,segment_0,11155412227542,False,12.7,0.0028456554605119496,False,0.0043,0.0014,36.0,0.0988,1.271,0.0,0.014,0.0177,
data,segment_0,11156417283742,False,12.7,0.002984048304697813,False,0.0162,0.0026,48.0,0.1514,1.065,0.0,0.007,0.021,
data,segment_0,11166421139350,False,13.2,0.017436245094413938,False,0.0461,0.0086,0.0,0.1899,1.453,0.0,0.216,0.125,
data,segment_0,11167417913905,False,14.7,0.01052315448051857,False,0.0268,0.0061,12.0,0.2292,1.869,0.0,0.222,0.1015,
data,segment_0,11168419691789,False,14.9,0.006026051909695529,False,0.0943,0.0172,12.0,0.1992,2.088,0.0,0.231,0.1077,
data,segment_0,11169418697986,False,16.0,0.002706832166425976,False,0.0899,0.0228,24.0,0.2009,2.365,0.0,0.226,0.1284,
data,segment_0,11175414237042,True,21.2,0.0004903320733730358,True,0.0133,0.003,72.0,0.1374,1.588,0.000824,0.214,0.1202,
data,segment_0,11176420320963,True,21.4,0.000346523119749608,True,0.0122,0.0025,60.0,0.1252,1.524,0.000814,0.216,0.126,
data,segment_0,11177419547443,True,21.9,0.00028952807631444147,True,0.0071,0.0015,60.0,0.1218,1.459,0.000727,0.219,0.1322,
data,segment_1,11183162464706,True,22.1,0.000763456744607538,True,0.0116,0.002,192.0,0.1017,2.19,0.001618,0.683,0.2112,
data,segment_1,11184170502397,True,21.8,0.0007588413335056623,True,0.0165,0.0047,204.0,0.1052,2.199,0.00149,0.747,0.2086,
data,segment_1,11185171567755,True,21.0,0.0006384283843236579,True,0.0118,0.0028,228.0,0.1052,2.28,0.001091,0.747,0.122,
data,segment_1,11186171528770,True,19.0,0.000541216778125814,True,0.013,0.0029,252.0,0.1204,2.4,0.000933,0.699,0.0777,
data,segment_1,11214171622180,True,14.2,0.0007718186918162859,True,0.0083,0.0027,156.0,0.0759,0.928,0.000835,0.156,0.0553,
data,segment_1,11237171784521,True,20.2,0.0017452987376600504,True,0.0116,0.0019,36.0,0.0816,1.375,0.000619,0.336,0.0699,
data,segment_2,11243169311271,True,21.7,0.0005460432649040046,True,0.0086,0.0019,48.0,0.0698,1.429,0.00094,0.265,0.1353,
data,segment_2,11244172845195,True,21.7,0.0005208805373855495,True,0.0103,0.002,72.0,0.0663,1.319,0.000791,0.271,0.1185,
data,segment_2,11245169733287,True,21.7,0.0004951100576342305,True,0.0134,0.0032,48.0,0.0627,1.267,0.000755,0.276,0.1183,
data,segment_2,11246171756786,True,21.7,0.0005666305660270154,True,0.0078,0.0014,72.0,0.068,1.283,0.000838,0.334,0.1198,
data,segment_2,11247176082448,True,21.5,0.0005536596704154745,True,0.0075,0.0015,72.0,0.0719,1.339,0.000983,0.402,0.1264,
