route,segment,kind,t,v_kmh,curv_abs,lane_prob_inner,ystd_2s,err_2s,curv_jitter,weave_amp_m,exposure,co_du_lieu_truoc
data,segment_1,nha_lai,11196292791978,,,,,,,,,False
data,segment_1,day_vo_lang,11231789217789,12.3,0.00076,0.165,0.597,0.058,0.00035,,,True
data,segment_1,day_vo_lang,11233036057777,14.0,0.00244,0.11,0.606,0.114,0.00051,,,True
data,segment_10,nha_lai,11760168308261,,,,,,,,,False
data,segment_10,nha_lai,11774287863250,8.2,0.00192,0.454,0.092,0.024,0.00021,,,True
data,segment_12,nha_lai,11898702170322,,,,,,,,,False
data,segment_13,day_vo_lang,11955635903536,25.1,0.00057,0.945,0.108,0.134,5e-05,0.019,,True
data,segment_14,nha_lai,12013295088486,10.3,0.00217,0.406,0.085,0.031,0.00397,0.006,,True
data,segment_14,day_vo_lang,12020427750711,13.6,0.01955,0.017,0.619,0.283,0.01778,,,True
data,segment_17,day_vo_lang,12148577290591,21.1,0.00238,0.132,0.455,0.074,0.00061,0.026,,True
data,segment_17,day_vo_lang,12193949474403,15.4,0.00423,0.092,0.293,0.12,0.00042,0.053,,True
data,segment_17,day_vo_lang,12197515699449,14.0,0.00726,0.098,0.477,0.082,0.00057,0.043,,True
data,segment_18,day_vo_lang,12205973869458,8.7,0.01071,0.289,0.436,0.071,0.00055,,,True
data,segment_18,day_vo_lang,12216251055433,16.9,0.00353,0.112,0.32,0.131,0.00037,0.069,,True
data,segment_18,day_vo_lang,12233746199907,21.8,0.00142,0.138,0.158,0.133,0.00012,0.025,,True
data,segment_18,day_vo_lang,12235752908056,22.3,0.00337,0.138,0.184,0.138,0.00018,0.01,,True
data,segment_19,day_vo_lang,12268309272612,23.0,0.00074,0.146,0.289,0.061,0.00033,0.019,,True
data,segment_19,day_vo_lang,12288127251210,19.0,0.00638,0.111,0.271,0.243,0.00036,0.067,,True
data,segment_19,day_vo_lang,12295786540881,22.4,0.00115,0.169,0.133,0.06,9e-05,0.029,,True
data,segment_2,day_vo_lang,11259873421894,10.4,0.02723,0.006,1.536,0.456,0.55683,0.008,,True
data,segment_2,day_vo_lang,11263452885645,12.9,0.14651,0.013,1.247,1.535,0.0032,,,True
data,segment_2,nha_lai,11276392277411,12.5,0.00068,0.13,0.086,0.047,0.00037,0.006,,True
data,segment_20,day_vo_lang,12342503851365,18.4,0.00095,0.18,0.325,0.073,0.00025,0.02,,True
data,segment_20,day_vo_lang,12344147824884,17.9,0.00416,0.223,0.411,0.078,0.00031,0.02,,True
data,segment_20,day_vo_lang,12349641979799,16.9,0.00121,0.247,0.171,0.071,0.00014,,,True
data,segment_21,day_vo_lang,12431735067975,22.9,0.00126,0.218,0.218,0.065,0.00013,0.03,,True
data,segment_22,day_vo_lang,12468761548695,19.0,0.00158,0.407,0.164,0.074,0.00014,0.021,,True
data,segment_23,day_vo_lang,12508573450074,20.9,0.01606,0.066,0.735,0.82,0.00162,,,True
data,segment_23,day_vo_lang,12528977906160,22.7,0.00059,0.144,0.178,0.123,0.0001,0.008,,True
data,segment_24,day_vo_lang,12575591823639,24.2,0.00158,0.422,0.191,0.115,0.00013,0.013,,True
data,segment_24,day_vo_lang,12576671536577,24.3,0.00214,0.415,0.186,0.483,0.00014,0.013,,True
data,segment_24,nha_lai,12599181386488,28.9,0.00099,0.218,0.164,0.154,0.00015,0.009,,True
data,segment_26,day_vo_lang,12706230309508,49.5,0.00214,0.23,0.431,0.396,0.0002,0.155,,True
data,segment_26,nha_lai,12711670615153,47.8,0.00061,0.967,0.122,0.046,5e-05,,,True
data,segment_32,nha_lai,13052438479202,43.5,0.00169,0.959,0.127,0.298,7e-05,0.025,,True
data,segment_37,nha_lai,13344745320853,7.4,0.00128,0.039,0.399,0.179,0.02058,,,True
data,segment_37,nha_lai,13383884092582,,,,,,,,,False
data,segment_38,nha_lai,13418913037231,26.9,0.01605,0.304,0.337,0.416,0.0002,0.625,,True
data,segment_39,nha_lai,13469209027118,,,,,,,,,False
data,segment_39,nha_lai,13477183569601,,,,,,,,,False
data,segment_39,nha_lai,13514469446031,21.5,0.00013,0.24,0.083,0.058,0.00122,0.011,,True
data,segment_41,nha_lai,13588983357617,25.1,0.00047,0.559,0.187,0.091,8e-05,0.013,,True
data,segment_41,nha_lai,13590177997219,22.0,0.00062,0.394,0.181,0.167,0.00018,0.013,,True
data,segment_42,day_vo_lang,13654292828611,34.9,0.00086,0.943,0.229,0.12,0.0001,0.011,,True
data,segment_42,nha_lai,13677294844560,,,,,,,,,False
data,segment_43,day_vo_lang,13750107595881,18.4,0.00101,0.245,0.192,0.177,0.00051,0.01,,True
data,segment_44,day_vo_lang,13780907349075,42.1,0.00354,0.381,0.347,0.387,0.00013,0.131,,True
data,segment_45,nha_lai,13844411069170,,,,,,,,,False
data,segment_45,nha_lai,13853923296707,,,,,,,,,False
data,segment_45,nha_lai,13856698163540,,,,,,,,,False
data,segment_45,nha_lai,13860223524224,8.3,0.00065,0.136,0.079,0.019,0.0008,,,True
data,segment_45,nha_lai,13869317790371,11.7,0.02809,0.039,1.025,1.058,0.00762,,,True
data,segment_45,day_vo_lang,13872387311007,13.3,0.05362,0.028,1.486,1.319,0.00594,,,True
data,segment_45,nha_lai,13875774953459,17.2,0.00338,0.017,0.752,0.158,0.00316,,,True
data,segment_47,nha_lai,13993032835329,,,,,,,,,False
data,segment_47,nha_lai,13997938666136,,,,,,,,,False
data,segment_47,nha_lai,13999670206802,,,,,,,,,False
data,segment_49,day_vo_lang,14083242006104,12.4,0.00483,0.522,0.157,0.034,0.00018,,,True
data,segment_49,nha_lai,14091229707566,13.6,0.00143,0.005,0.136,0.029,0.00112,0.008,,True
data,segment_5,nha_lai,11466590072671,,,,,,,,,False
data,segment_7,nha_lai,11544631562517,,,,,,,,,False
data,segment_7,nha_lai,11572829765939,8.7,0.02411,0.082,0.547,0.127,,,,True
data,segment_9,nha_lai,11697692934479,22.7,0.00205,0.236,0.309,0.095,0.00095,0.021,,True
