route,segment,frame_id,v_ego,err_2s,ystd_2s,lane_prob_inner,ly_do,t,v_med_kmh,weave_amp_m
data,segment_2,2791.0,3.5776887515052698,2.359903653086021,1.0645653009414673,0.015434200875461102,sai so du doan lon,,,
data,segment_2,2790.0,3.59375,2.3121567273763852,1.0591500997543335,0.014779025688767433,sai so du doan lon,,,
data,segment_14,17947.0,4.15625,2.2751419828743997,1.697910189628601,0.009451964870095253,sai so du doan lon,,,
data,segment_45,54931.0,3.40625,2.0708934464574122,1.0350407361984253,0.045186739414930344,sai so du doan lon,,,
data,segment_2,2789.0,3.603205236480381,2.0496842064216483,1.1567366123199463,0.012464536353945732,sai so du doan lon,,,
data,segment_2,2792.0,3.5625,1.985947094618846,1.000346302986145,0.015802424401044846,sai so du doan lon,,,
data,segment_15,18024.0,4.45071128174354,1.876975338482191,0.7192111611366272,0.09594795107841492,sai so du doan lon,,,
data,segment_45,54971.0,3.796875,1.859431369801306,1.260913372039795,0.027444161474704742,sai so du doan lon,,,
data,segment_14,17946.0,4.15625,1.8370200842914233,1.7082512378692627,0.009938370436429977,sai so du doan lon,,,
data,segment_45,54930.0,3.390625,1.8362023655022637,0.9798657894134521,0.05073718726634979,sai so du doan lon,,,
data,segment_14,17948.0,4.140625,1.7702615952454757,1.6035685539245605,0.010447836481034756,sai so du doan lon,,,
data,segment_7,9448.0,2.390625,1.7521211934596466,0.7328863143920898,0.07131624221801758,sai so du doan lon,,,
data,segment_15,18025.0,4.4375,1.7397449525010418,0.7386150360107422,0.08542004227638245,sai so du doan lon,,,
data,segment_45,54992.0,4.421875,1.7236477881471044,1.509191632270813,0.01981879211962223,sai so du doan lon,,,
data,segment_45,54973.0,3.84375,1.6820777778942526,1.4585626125335693,0.02694358490407467,sai so du doan lon,,,
data,segment_46,,,,,0.091,danh vong manh,13919089648749.0,23.7,0.2913
data,segment_46,,,,,0.143,danh vong manh,13917072694825.0,25.3,0.2528
data,segment_46,,,,,0.091,danh vong manh,13918076297157.0,24.4,0.2014
data,segment_28,,,,,0.224,danh vong manh,12829119432649.0,58.9,0.1917
data,segment_28,,,,,0.816,danh vong manh,12828116769904.0,58.9,0.1903
data,segment_44,,,,,0.304,danh vong manh,13771078443868.0,40.6,0.1884
data,segment_28,,,,,0.981,danh vong manh,12826119385603.0,59.5,0.1689
data,segment_23,,,,,0.134,danh vong manh,12509132340078.0,23.3,0.1656
data,segment_46,,,,,0.336,danh vong manh,13916077401085.0,28.2,0.1654
data,segment_44,,,,,0.36,danh vong manh,13770083931923.0,39.6,0.1574
data,segment_26,,,,,0.253,danh vong manh,12701131170845.0,49.0,0.1549
data,segment_15,,,,,0.566,danh vong manh,12024152479516.0,21.2,0.1506
data,segment_38,,,,,0.848,danh vong manh,13442115045422.0,39.7,0.149
data,segment_14,,,,,0.605,danh vong manh,11996138391611.0,35.2,0.1453
data,segment_23,,,,,0.188,danh vong manh,12510126573011.0,23.3,0.1403
