vbin,shape,lane,n_frame,err_2s,err_2s_p90,ystd_2s,n_win,weave,track,du_ket_luan
<30,cua,co vach,1929,0.1274171861039568,0.3914390393548084,0.17634345591068268,32,0.037250000000000005,0.0014275,co
<30,cua,mat vach,4368,0.1890446675314555,0.6915955677055226,0.28671894967556,90,0.039599999999999996,0.0011845,co
<30,thang,co vach,6767,0.07427771850933457,0.15788721706079198,0.135835200548172,269,0.0116,0.000434,co
<30,thang,mat vach,6336,0.06967302084970182,0.1633151680865746,0.17360123246908188,236,0.0182,0.0006205,co
30-50,cua,co vach,1757,0.2650493619724824,0.4343866014837226,0.16494300961494446,73,0.0301,0.00097,co
30-50,cua,mat vach,259,0.208943862441337,0.601436112178728,0.33198970556259155,8,0.0553,0.000616,co
30-50,thang,co vach,10849,0.10882490614815901,0.2067713710680009,0.1364404410123825,477,0.0133,0.000269,co
30-50,thang,mat vach,1005,0.1344435060586642,0.23679056821169733,0.2704649269580841,32,0.0296,0.00030250000000000003,co
>50,cua,co vach,126,0.38792326552524137,0.4881845448656642,0.2081885188817978,6,0.08515,0.000853,co
>50,thang,co vach,319,0.08255983512752808,0.29695799770876,0.17241059243679047,16,0.054900000000000004,0.00024400000000000002,co
>50,thang,mat vach,55,0.10697452347803454,0.1841086132876063,0.30996572971343994,3,0.0574,0.000208,MAU QUA IT
