route,segment,ok,why,duration_s,km,km_long,long_pct,v_med_kmh,lead_pct,radar_pct,n_standstill,n_gas,n_brake,fingerprint,vf_late_brake_patch,aego_corr,aego_slope,aego_std,a_true_std,a_noise,imu_axis,imu_corr
data,segment_0,True,ok,57.9,0.175,0.047,13.1,10.3,12.4,50.7,0,0,2,VINFAST_VF6,False,0.939,3.54,0.0778,0.2936,0.1281,1/-1,0.08
data,segment_1,True,ok,60.0,0.199,0.194,95.0,11.1,62.3,31.6,0,0,0,VINFAST_VF6,False,0.98,3.86,0.1578,0.622,0.1776,2/-1,0.857
data,segment_2,True,ok,60.0,0.267,0.218,76.1,16.9,42.7,11.9,1,0,2,VINFAST_VF6,False,0.984,3.87,0.1483,0.5838,0.0533,2/-1,0.929
data,segment_3,True,ok,60.0,0.463,0.463,100.0,28.0,98.2,40.7,0,0,0,VINFAST_VF6,False,0.986,3.93,0.0895,0.3568,0.0621,2/-1,0.849
data,segment_4,True,ok,60.0,0.207,0.207,100.0,5.1,99.9,67.9,2,0,0,VINFAST_VF6,False,0.982,3.89,0.0697,0.2755,0.0239,2/-1,0.859
data,segment_5,True,ok,60.0,0.104,0.104,97.7,2.9,99.8,87.0,1,0,0,VINFAST_VF6,False,0.987,3.93,0.1101,0.438,0.0569,2/-1,0.945
data,segment_6,True,ok,60.0,0.007,0.007,96.9,0.0,100.0,60.6,4,0,0,VINFAST_VF6,False,0.933,3.47,0.0428,0.1592,0.0691,2/-1,0.779
data,segment_7,True,ok,60.0,0.101,0.098,93.2,6.0,99.8,69.7,3,0,0,VINFAST_VF6,False,0.977,3.8,0.0979,0.381,0.0716,2/-1,0.914
data,segment_8,True,ok,60.0,0.453,0.453,100.0,28.9,99.0,57.7,0,0,0,VINFAST_VF6,False,0.965,3.78,0.0733,0.2868,0.0636,2/-1,0.656
data,segment_9,True,ok,60.0,0.632,0.629,99.0,38.0,52.6,34.2,0,0,0,VINFAST_VF6,False,0.979,3.89,0.1423,0.5651,0.074,2/-1,0.789
data,segment_10,True,ok,60.0,0.335,0.334,99.5,24.5,71.0,51.1,1,0,0,VINFAST_VF6,False,0.99,3.96,0.1722,0.6889,0.0492,2/-1,0.92
data,segment_11,True,ok,60.0,0.692,0.692,100.0,42.4,96.7,37.0,0,0,0,VINFAST_VF6,False,0.884,3.36,0.0435,0.1653,0.0667,2/-1,0.312
data,segment_12,True,ok,60.0,0.397,0.397,100.0,33.5,99.1,75.4,1,0,0,VINFAST_VF6,False,0.98,3.89,0.0743,0.2947,0.0379,2/-1,0.799
data,segment_13,True,ok,60.0,0.366,0.366,100.0,24.2,99.4,65.0,0,0,0,VINFAST_VF6,False,0.975,3.83,0.0736,0.2894,0.0527,2/-1,0.793
data,segment_14,True,ok,60.0,0.491,0.458,84.4,35.4,89.1,56.7,0,0,1,VINFAST_VF6,False,0.965,3.79,0.0849,0.3334,0.0772,2/-1,0.672
data,segment_15,True,ok,60.0,0.365,0.362,98.6,21.7,71.7,54.4,0,0,0,VINFAST_VF6,False,0.953,3.64,0.0564,0.2153,0.0494,2/-1,0.633
data,segment_16,True,ok,60.0,0.337,0.337,100.0,22.4,57.5,53.8,0,0,0,VINFAST_VF6,False,0.976,3.83,0.0753,0.2957,0.0585,2/-1,0.776
data,segment_17,True,ok,60.0,0.333,0.333,100.0,22.1,28.7,0.9,0,0,0,VINFAST_VF6,False,0.946,3.59,0.0524,0.1993,0.057,2/-1,0.522
data,segment_18,True,ok,60.0,0.33,0.33,100.0,21.3,57.5,44.5,0,0,0,VINFAST_VF6,False,0.936,3.55,0.0438,0.1661,0.0487,2/-1,0.608
data,segment_19,True,ok,60.0,0.371,0.371,100.0,22.7,41.0,79.9,0,0,0,VINFAST_VF6,False,0.929,3.51,0.0306,0.1159,0.0567,2/-1,0.41
data,segment_20,True,ok,60.0,0.317,0.317,100.0,19.3,38.5,43.7,0,0,0,VINFAST_VF6,False,0.952,3.63,0.0649,0.2472,0.0586,2/-1,0.66
