route,segment,t,long_active,v_med_kmh,a_med,a_min,jerk_std,track_err_a,plan_src
data,segment_0,11132217874023,False,9.1,-0.1634,-0.6317,0.5804,0.2763,e2e
data,segment_0,11133218660794,False,8.6,-0.1634,-0.6317,0.4955,0.2127,e2e
data,segment_0,11134211836500,False,8.4,0.0586,-0.2733,0.253,0.1565,e2e
data,segment_0,11135213679220,False,8.5,0.0721,-0.2781,0.3482,0.2062,e2e
data,segment_0,11151217889691,False,9.3,0.3306,-0.2271,0.406,0.2967,e2e
data,segment_0,11152218237459,False,9.9,0.2381,-0.2271,0.4325,0.3127,e2e
data,segment_0,11153214359003,False,10.6,0.288,-0.2271,0.4071,0.1572,e2e
data,segment_0,11154217320745,False,11.9,0.2851,-0.0671,0.2609,0.1267,e2e
data,segment_0,11155216757022,False,12.8,0.1247,-0.126,0.2568,0.1241,e2e
data,segment_0,11156215509516,False,12.8,0.008,-0.2032,0.2495,0.1351,e2e
data,segment_0,11157215594517,False,12.8,-0.086,-0.217,0.2069,0.1234,e2e
data,segment_0,11158217924600,False,12.4,-0.1681,-0.235,0.1497,0.1439,e2e
data,segment_0,11159219252003,False,11.8,-0.1933,-0.235,0.1222,0.2025,e2e
data,segment_0,11160213215679,False,11.1,-0.166,-0.235,0.1511,0.2069,e2e
data,segment_0,11161213785757,False,10.7,-0.058,-0.2195,0.1357,0.2365,e2e
data,segment_0,11162212990667,False,10.5,-0.0454,-0.1233,0.126,0.4602,e2e
data,segment_0,11163214589925,False,10.5,-0.0383,-0.0729,0.1538,0.4696,e2e
data,segment_0,11164214002427,False,10.5,0.1632,-0.0729,0.1552,0.3532,e2e
data,segment_0,11165215118777,False,11.4,0.2412,-0.0361,0.224,0.3171,e2e
data,segment_0,11166215148702,False,12.4,0.2873,0.1028,0.2367,0.3218,e2e
data,segment_0,11167216504883,False,13.0,0.2502,0.0465,0.3828,0.2213,e2e
data,segment_0,11168216596778,False,14.5,0.1961,-0.1507,0.4611,0.2255,e2e
data,segment_0,11169217071523,False,14.8,0.3135,-0.1507,0.6373,0.3032,e2e
data,segment_0,11170219049239,False,15.5,0.1856,-0.1507,0.7334,0.4238,e2e
data,segment_0,11171211449130,False,17.8,0.337,-0.1293,0.8981,0.4071,cruise
data,segment_0,11172213126329,False,18.0,0.4343,-0.1293,1.0428,0.5531,cruise
data,segment_0,11176215467420,True,20.8,0.1671,-0.6074,0.467,0.1183,cruise
data,segment_0,11177211104171,True,21.2,0.1622,0.0524,0.0929,0.085,cruise
data,segment_0,11178212506205,True,21.8,0.1115,0.0407,0.0774,0.0496,cruise
data,segment_0,11179215569484,True,22.1,0.079,0.0091,0.0506,0.0372,cruise
data,segment_1,11183172488293,True,22.3,-0.043,-0.1279,0.0778,0.0138,cruise
data,segment_1,11184182039582,True,22.1,-0.0801,-0.2437,0.1155,0.0246,e2e
data,segment_1,11185181116774,True,21.8,-0.1218,-0.5643,0.189,0.0388,e2e
data,segment_1,11186182799609,True,21.0,-0.2898,-0.7077,0.1891,0.0614,e2e
data,segment_1,11187177709272,True,19.0,-0.6818,-0.9592,0.1685,0.0454,e2e
data,segment_1,11188178452287,True,16.4,-0.8189,-1.0567,0.2045,0.053,e2e
data,segment_1,11189179935016,True,13.0,-0.8483,-1.0567,0.2443,0.0664,e2e
data,segment_1,11200182625182,True,8.0,0.1462,-0.5523,0.3104,0.0416,e2e
data,segment_1,11201184356933,True,8.9,0.2904,0.066,0.1263,0.049,e2e
data,segment_1,11202172953890,True,10.1,0.292,0.2348,0.0656,0.0633,e2e
data,segment_1,11203175237389,True,11.1,0.2969,0.2348,0.1038,0.0559,e2e
data,segment_1,11204175833229,True,12.1,0.3527,0.2348,0.1118,0.0373,e2e
data,segment_1,11205176245532,True,13.6,0.3702,0.258,0.1156,0.021,e2e
data,segment_1,11206176724600,True,15.0,0.3567,-0.4895,0.6949,0.031,e2e
data,segment_1,11207180322317,True,15.4,0.2874,-2.5624,1.7486,0.0355,e2e
data,segment_1,11208174738135,True,13.7,-0.3223,-2.5624,2.0589,0.1228,e2e
data,segment_1,11209177399002,True,8.8,-0.2497,-2.5624,1.8974,0.1128,e2e
data,segment_1,11210183089924,True,8.8,0.1166,-1.2403,0.7445,0.0332,e2e
data,segment_1,11211184019798,True,9.8,0.4207,0.0404,0.1612,0.0273,e2e
data,segment_1,11212183138842,True,11.5,0.4346,0.3021,0.1582,0.0274,e2e
data,segment_1,11213175258002,True,13.2,0.4031,0.1364,0.0827,0.0312,e2e
data,segment_1,11214176594521,True,14.2,0.1893,-0.0272,0.0532,0.0448,e2e
data,segment_1,11215177490324,True,14.5,0.0202,-0.3112,0.0918,0.0776,e2e
data,segment_1,11216176981740,True,14.5,-0.1183,-0.5581,0.0877,0.0742,e2e
data,segment_1,11217179267493,True,13.4,-0.4544,-0.8152,0.0637,0.0517,e2e
