route,segment,t,long_active,v_start_kmh,dist_m,time_s,a_can_thiet,a_min,co_lead
data,segment_4,11396423535482,True,18.0,21.5,10.3,-0.581,-0.853,False
data,segment_5,11467205894017,True,18.0,35.7,15.7,-0.35,-1.232,False
data,segment_10,11760742188206,True,18.0,17.3,8.4,-0.724,-1.074,True
data,segment_12,11899440163288,True,18.0,25.7,16.9,-0.486,-1.107,False
data,segment_26,12724043727041,True,18.0,13.4,5.8,-0.932,-1.092,False
data,segment_29,12872527611632,False,18.0,5.1,2.8,-2.446,-3.109,True
data,segment_32,13061555667607,False,18.1,6.5,3.3,-1.925,-2.339,True
data,segment_32,13069981237868,True,18.1,6.7,11.7,-1.866,-2.339,False
data,segment_32,13072657708934,True,18.1,6.9,14.4,-1.814,-2.339,False
data,segment_32,13075985048434,True,18.1,7.1,17.7,-1.771,-2.339,False
data,segment_33,13111282157116,False,18.0,7.4,3.7,-1.687,-1.912,True
data,segment_36,13297633103465,True,18.0,23.3,9.3,-0.535,-1.185,True
data,segment_37,13384480138221,True,18.0,15.7,7.8,-0.794,-1.711,True
data,segment_39,13517158053503,False,18.1,7.7,3.7,-1.631,-2.622,False
data,segment_42,13677875646339,True,18.0,15.3,6.9,-0.817,-1.268,True
data,segment_45,13844995708424,True,18.0,20.0,8.3,-0.624,-0.874,True
data,segment_48,14038290167945,False,18.1,20.5,12.2,-0.615,-0.957,False
